tract,total_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,total_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep
06037573102,3245.0,647.0,1622.0,467.0,15.0,29.0,465.0,2527.0,496.0,1177.0,395.0,14.0,25.0,420.0,634.0,120.0,846.0,134.0,1040.0,148.0,867.0,163.0,883.0,142.0,1121.0,247.0
06037573201,4606.0,678.0,2803.0,873.0,12.0,13.0,227.0,3444.0,531.0,2011.0,687.0,8.0,9.0,198.0,747.0,170.0,832.0,136.0,816.0,124.0,618.0,125.0,624.0,107.0,1102.0,254.0
06037573202,6250.0,923.0,3643.0,1420.0,13.0,38.0,213.0,4556.0,716.0,2517.0,1111.0,10.0,15.0,187.0,988.0,169.0,1017.0,124.0,1186.0,152.0,878.0,142.0,885.0,121.0,1319.0,345.0
06037573300,4068.0,669.0,1718.0,1499.0,14.0,15.0,153.0,3050.0,487.0,1207.0,1187.0,14.0,12.0,143.0,565.0,108.0,691.0,80.0,632.0,101.0,493.0,102.0,496.0,94.0,819.0,236.0
06037573401,1575.0,266.0,620.0,301.0,19.0,18.0,351.0,1225.0,188.0,452.0,263.0,12.0,13.0,297.0,351.0,140.0,324.0,116.0,406.0,122.0,353.0,109.0,347.0,107.0,435.0,134.0
06037573402,6827.0,1181.0,2647.0,1551.0,44.0,37.0,1367.0,5358.0,886.0,1930.0,1230.0,37.0,25.0,1250.0,1848.0,702.0,1482.0,508.0,1744.0,517.0,1449.0,542.0,1454.0,505.0,2233.0,719.0
06037573403,3446.0,477.0,782.0,1024.0,20.0,30.0,1113.0,2861.0,402.0,577.0,840.0,16.0,20.0,1006.0,647.0,330.0,980.0,459.0,905.0,348.0,1033.0,437.0,1042.0,420.0,1414.0,494.0
06037573601,6441.0,330.0,1591.0,772.0,110.0,113.0,3525.0,5133.0,217.0,1131.0,598.0,94.0,91.0,3002.0,1845.0,1565.0,1759.0,1492.0,1818.0,1345.0,1632.0,1462.0,1679.0,1377.0,2318.0,1631.0
06037573700,4790.0,247.0,1261.0,593.0,43.0,107.0,2539.0,3679.0,167.0,849.0,442.0,43.0,64.0,2114.0,1416.0,1093.0,1276.0,1087.0,1417.0,938.0,1287.0,994.0,1299.0,929.0,1816.0,1128.0
06037573800,4371.0,192.0,1088.0,531.0,56.0,85.0,2419.0,3445.0,125.0,783.0,380.0,52.0,54.0,2051.0,1246.0,1016.0,1177.0,1087.0,1313.0,967.0,1169.0,1020.0,1187.0,956.0,1697.0,1102.0
06037573902,2263.0,141.0,416.0,393.0,29.0,28.0,1256.0,1843.0,109.0,300.0,316.0,23.0,16.0,1079.0,707.0,574.0,592.0,606.0,629.0,515.0,600.0,554.0,603.0,530.0,877.0,580.0
06037574000,5322.0,235.0,1189.0,714.0,63.0,67.0,3054.0,4251.0,152.0,854.0,532.0,50.0,47.0,2616.0,1752.0,1320.0,1694.0,1255.0,1794.0,1086.0,1778.0,1154.0,1761.0,1109.0,2268.0,1225.0
06037574100,5251.0,248.0,1187.0,700.0,56.0,62.0,2998.0,4150.0,171.0,840.0,528.0,49.0,43.0,2519.0,1505.0,1265.0,1518.0,1187.0,1535.0,1049.0,1436.0,1141.0,1460.0,1069.0,2030.0,1303.0
06037574201,3287.0,182.0,823.0,619.0,31.0,37.0,1595.0,2632.0,117.0,610.0,473.0,24.0,35.0,1373.0,918.0,748.0,876.0,748.0,951.0,601.0,860.0,668.0,873.0,615.0,1129.0,649.0
06037574202,2206.0,223.0,750.0,236.0,9.0,18.0,970.0,1784.0,183.0,540.0,177.0,3.0,18.0,863.0,388.0,238.0,555.0,350.0,548.0,284.0,455.0,294.0,473.0,264.0,770.0,435.0
06037574300,6044.0,303.0,1274.0,850.0,65.0,103.0,3449.0,4773.0,216.0,919.0,612.0,56.0,81.0,2889.0,1779.0,1494.0,1675.0,1419.0,1800.0,1249.0,1715.0,1325.0,1742.0,1242.0,2367.0,1362.0
06037574400,5420.0,236.0,1210.0,729.0,67.0,87.0,3091.0,4250.0,163.0,848.0,548.0,50.0,71.0,2570.0,1602.0,1370.0,1591.0,1345.0,1714.0,1130.0,1580.0,1221.0,1587.0,1144.0,2183.0,1282.0
06037574500,6533.0,276.0,1396.0,931.0,63.0,133.0,3734.0,5192.0,214.0,973.0,719.0,59.0,88.0,3139.0,2058.0,1616.0,1875.0,1626.0,1996.0,1370.0,1893.0,1475.0,1918.0,1414.0,2583.0,1583.0
06037574602,1243.0,96.0,126.0,241.0,13.0,10.0,757.0,1099.0,75.0,106.0,216.0,10.0,7.0,685.0,379.0,427.0,336.0,447.0,392.0,338.0,331.0,334.0,338.0,311.0,326.0,200.0
06037574800,3165.0,235.0,575.0,481.0,29.0,46.0,1799.0,2666.0,188.0,464.0,390.0,25.0,32.0,1567.0,917.0,710.0,911.0,716.0,915.0,544.0,954.0,623.0,952.0,609.0,1008.0,467.0
06037574901,3829.0,191.0,740.0,578.0,38.0,63.0,2219.0,3075.0,126.0,527.0,458.0,26.0,56.0,1882.0,1235.0,774.0,1132.0,800.0,1263.0,686.0,1159.0,785.0,1168.0,737.0,1569.0,871.0
06037574902,5192.0,774.0,1421.0,1195.0,41.0,64.0,1697.0,4525.0,588.0,1205.0,1082.0,39.0,51.0,1560.0,1063.0,456.0,980.0,384.0,1152.0,320.0,1061.0,337.0,1051.0,314.0,1747.0,478.0
06037575001,4144.0,629.0,1136.0,896.0,67.0,39.0,1377.0,3441.0,486.0,866.0,766.0,52.0,35.0,1236.0,1135.0,517.0,987.0,379.0,1011.0,326.0,965.0,337.0,987.0,298.0,1334.0,485.0
06037575002,4760.0,550.0,1503.0,725.0,56.0,61.0,1865.0,4072.0,433.0,1179.0,633.0,53.0,59.0,1715.0,1332.0,453.0,1280.0,431.0,1344.0,395.0,1270.0,396.0,1271.0,358.0,1552.0,439.0
06037575101,4568.0,757.0,2283.0,984.0,37.0,29.0,478.0,3404.0,536.0,1589.0,797.0,37.0,18.0,427.0,746.0,173.0,889.0,150.0,832.0,160.0,703.0,154.0,715.0,132.0,1079.0,231.0
06037575102,4064.0,443.0,2485.0,826.0,17.0,22.0,271.0,3013.0,303.0,1763.0,669.0,16.0,19.0,243.0,490.0,122.0,494.0,100.0,559.0,110.0,481.0,104.0,494.0,94.0,790.0,195.0
06037575103,5088.0,1075.0,2411.0,642.0,52.0,60.0,848.0,3956.0,773.0,1761.0,540.0,35.0,59.0,788.0,1099.0,176.0,1066.0,154.0,1198.0,187.0,951.0,205.0,976.0,166.0,1452.0,291.0
06037575201,4664.0,758.0,2381.0,1322.0,6.0,32.0,165.0,3456.0,562.0,1640.0,1084.0,4.0,16.0,150.0,719.0,120.0,776.0,66.0,836.0,117.0,615.0,121.0,604.0,107.0,1018.0,265.0
06037575202,4278.0,405.0,2557.0,1132.0,5.0,19.0,160.0,3163.0,294.0,1783.0,920.0,5.0,18.0,143.0,477.0,120.0,630.0,88.0,679.0,94.0,446.0,109.0,460.0,89.0,870.0,209.0
06037575300,4545.0,796.0,2666.0,889.0,9.0,31.0,154.0,3354.0,585.0,1851.0,759.0,9.0,18.0,132.0,654.0,132.0,772.0,65.0,742.0,64.0,598.0,74.0,592.0,63.0,853.0,235.0
06037575401,4530.0,747.0,3355.0,175.0,3.0,36.0,214.0,3244.0,543.0,2327.0,152.0,3.0,25.0,194.0,335.0,59.0,400.0,34.0,512.0,61.0,362.0,60.0,358.0,58.0,724.0,177.0
06037575402,3454.0,482.0,2591.0,197.0,4.0,22.0,158.0,2365.0,329.0,1724.0,173.0,4.0,8.0,127.0,285.0,60.0,339.0,55.0,375.0,55.0,289.0,68.0,295.0,62.0,630.0,159.0
06037575801,1961.0,288.0,1363.0,52.0,17.0,3.0,238.0,1441.0,203.0,951.0,46.0,14.0,3.0,224.0,240.0,52.0,274.0,47.0,359.0,51.0,271.0,48.0,274.0,38.0,404.0,82.0
06037575802,4544.0,732.0,3089.0,205.0,11.0,34.0,473.0,3408.0,579.0,2164.0,183.0,11.0,33.0,438.0,576.0,138.0,676.0,97.0,740.0,107.0,651.0,112.0,653.0,95.0,913.0,185.0
06037575803,2684.0,408.0,1456.0,357.0,15.0,19.0,429.0,2180.0,334.0,1059.0,343.0,15.0,12.0,417.0,435.0,131.0,439.0,71.0,578.0,121.0,517.0,106.0,513.0,104.0,630.0,142.0
06037575901,3278.0,943.0,1483.0,279.0,20.0,35.0,518.0,2548.0,710.0,1053.0,255.0,20.0,28.0,482.0,720.0,121.0,694.0,107.0,787.0,118.0,719.0,125.0,734.0,108.0,1073.0,168.0
06037575902,5622.0,1298.0,1893.0,616.0,44.0,118.0,1653.0,5039.0,1123.0,1599.0,570.0,44.0,106.0,1597.0,1200.0,275.0,1266.0,241.0,1436.0,244.0,1194.0,238.0,1187.0,208.0,2066.0,378.0
06037576001,5921.0,844.0,1234.0,1040.0,70.0,98.0,2635.0,5598.0,769.0,1151.0,975.0,69.0,90.0,2544.0,1448.0,524.0,1544.0,547.0,1726.0,474.0,1638.0,481.0,1627.0,451.0,2554.0,646.0
06037576200,7148.0,1568.0,2823.0,670.0,117.0,120.0,1850.0,6189.0,1333.0,2255.0,613.0,101.0,110.0,1777.0,1230.0,236.0,1355.0,241.0,1488.0,256.0,1408.0,268.0,1412.0,240.0,1962.0,349.0
06037576301,4564.0,1078.0,2083.0,556.0,41.0,47.0,759.0,3769.0,891.0,1604.0,488.0,41.0,36.0,709.0,765.0,194.0,784.0,145.0,784.0,145.0,753.0,164.0,763.0,146.0,1108.0,247.0
06037576302,3901.0,746.0,2157.0,566.0,28.0,19.0,385.0,2934.0,563.0,1543.0,462.0,26.0,13.0,327.0,542.0,142.0,581.0,100.0,644.0,97.0,465.0,104.0,468.0,92.0,748.0,169.0
06037576401,4060.0,690.0,2580.0,510.0,19.0,22.0,239.0,2871.0,494.0,1729.0,413.0,13.0,13.0,209.0,423.0,84.0,575.0,60.0,627.0,66.0,428.0,85.0,433.0,67.0,752.0,171.0
06037576402,4705.0,597.0,3056.0,587.0,28.0,35.0,402.0,3472.0,433.0,2135.0,495.0,28.0,21.0,360.0,568.0,94.0,605.0,72.0,787.0,94.0,581.0,84.0,577.0,77.0,969.0,184.0
06037576403,4830.0,696.0,2880.0,760.0,30.0,26.0,438.0,3498.0,489.0,1969.0,614.0,20.0,13.0,393.0,573.0,111.0,618.0,77.0,692.0,89.0,607.0,105.0,611.0,89.0,1022.0,229.0
